postal_code,latitude,longitude
99504.0,61.2037,-149.7447
99515.0,61.1194,-149.8974
99507.0,61.1535,-149.8289
99504.0,61.2037,-149.7447
99517.0,61.1901,-149.9361
99577.0,61.3114,-149.5085
99701.0,64.8378,-147.7164
99705.0,64.7805,-147.3694
99669.0,60.4818,-151.1358
99654.0,61.5923,-149.3959
99654.0,61.5923,-149.3959
35007.0,33.1934,-86.7944
35007.0,33.1934,-86.7944
35950.0,34.2739,-86.2064
35010.0,32.9164,-85.9368
36420.0,31.2971,-86.4905
36201.0,33.6539,-85.8382
35611.0,34.8036,-86.9707
36502.0,31.0572,-87.4873
36832.0,32.592,-85.5189
36507.0,30.8635,-87.7644
36509.0,30.408,-88.2507
35022.0,33.3224,-86.9657
35020.0,33.409,-86.9475
35235.0,33.6328,-86.6493
35233.0,33.5062,-86.8003
35210.0,33.5452,-86.6655
35215.0,33.6493,-86.7057
35209.0,33.4653,-86.8082
35210.0,33.5452,-86.6655
35206.0,33.5678,-86.7199
35034.0,32.9357,-87.2114
36426.0,31.1294,-87.0961
35040.0,33.1098,-86.756
35960.0,34.1116,-85.6092
35043.0,33.2982,-86.6563
35055.0,34.1761,-86.8298
36322.0,31.2811,-85.7305
35601.0,34.5896,-86.9887
35603.0,34.5484,-87.0004
35601.0,34.5896,-86.9887
36301.0,31.1481,-85.3718
36303.0,31.2668,-85.3971
36303.0,31.2668,-85.3971
36323.0,31.4137,-86.0777
36330.0,31.3408,-85.8421
36027.0,31.9051,-85.1656
36441.0,31.0402,-87.2664
35630.0,34.8305,-87.656
36535.0,30.4007,-87.6857
35967.0,34.4368,-85.7124
35068.0,33.6017,-86.8265
35903.0,33.9845,-85.9077
36340.0,31.0414,-85.8847
35974.0,34.3592,-86.024
36037.0,31.81,-86.6229
36542.0,30.2717,-87.7589
35565.0,34.2314,-87.5938
35570.0,34.1534,-88.0085
35640.0,34.4482,-86.9242
36345.0,31.3534,-85.3323
35080.0,33.2663,-86.902
35244.0,33.3538,-86.8254
35226.0,33.3967,-86.8346
35023.0,33.468,-87.0924
35803.0,34.6205,-86.551
35811.0,34.7789,-86.5438
35810.0,34.7784,-86.6091
35802.0,34.6679,-86.5603
35816.0,34.7389,-86.6249
35806.0,34.7448,-86.6704
35210.0,33.5452,-86.6655
36545.0,31.5131,-87.8672
36265.0,33.831,-85.7752
35501.0,33.8312,-87.2775
35085.0,32.9805,-86.7181
35645.0,34.9016,-87.5082
36049.0,31.7074,-86.2566
35758.0,34.7108,-86.7425
35758.0,34.7108,-86.7425
35758.0,34.7108,-86.7425
35759.0,34.8618,-86.5789
36054.0,32.4995,-86.3641
36606.0,30.6729,-88.1009
36609.0,30.6605,-88.1618
36695.0,30.6474,-88.2292
36688.0,30.6962,-88.1821
36608.0,30.6817,-88.2945
36618.0,30.7322,-88.1758
36460.0,31.5153,-87.341
35115.0,33.1248,-86.8622
36117.0,32.3736,-86.1833
36116.0,32.3129,-86.2421
36106.0,32.3543,-86.2673
36117.0,32.3736,-86.1833
36116.0,32.3129,-86.2421
35650.0,34.5058,-87.2224
35661.0,34.7561,-87.6304
35121.0,33.9259,-86.4741
36801.0,32.6454,-85.3783
36801.0,32.6454,-85.3783
36467.0,31.2799,-86.2571
36561.0,30.281,-87.5815
35763.0,34.6215,-86.4644
36203.0,33.5815,-85.8328
36867.0,32.4978,-85.0234
36867.0,32.4978,-85.0234
36066.0,32.4787,-86.43
36067.0,32.4715,-86.4831
35906.0,33.9318,-86.0898
35986.0,34.4989,-85.8446
36274.0,33.1512,-85.3722
36567.0,30.5616,-87.6373
35652.0,34.8495,-87.3237
35653.0,34.5066,-87.7257
36571.0,30.8332,-88.0934
35769.0,34.618,-86.0562
36703.0,32.4156,-87.0135
36701.0,32.4197,-87.0245
36375.0,31.0956,-85.583
36527.0,30.6959,-87.8867
35146.0,33.7386,-86.4394
35150.0,33.1717,-86.2713
35160.0,33.4354,-86.1134
36078.0,32.551,-85.8978
36582.0,30.5444,-88.1807
36784.0,31.9067,-87.7598
36081.0,31.7945,-85.9655
35173.0,33.6339,-86.5981
35487.0,33.3072,-87.5859
35406.0,33.2722,-87.536
35401.0,33.1969,-87.5627
36083.0,32.4316,-85.6861
36854.0,32.8113,-85.1749
36092.0,32.5927,-86.2153
35594.0,33.9303,-87.7972
72921.0,35.5,-94.2073
71923.0,34.1153,-93.069
72513.0,36.2201,-91.6421
71822.0,33.6787,-94.1351
72501.0,35.7826,-91.6352
72012.0,35.0937,-91.9074
72714.0,36.4676,-94.2166
72019.0,34.604,-92.6259
72015.0,34.4933,-92.5896
72616.0,36.3519,-93.5587
72315.0,35.9273,-89.919
72021.0,34.8781,-91.1886
72022.0,34.6068,-92.492
72022.0,34.6068,-92.492
72023.0,34.9457,-92.0318
72719.0,36.367,-94.3089
72830.0,35.4908,-93.4911
72031.0,35.6045,-92.4758
72032.0,35.0842,-92.4236
72035.0,35.1053,-92.3549
72032.0,35.0842,-92.4236
72034.0,35.0823,-92.4683
72834.0,35.1955,-93.1873
71832.0,34.0442,-94.3386
71639.0,33.8921,-91.4861
72331.0,35.2799,-90.4503
71730.0,33.2073,-92.6629
72632.0,36.4175,-93.7379
72704.0,36.0877,-94.3093
72701.0,36.052,-94.1534
72634.0,36.2682,-92.578
71742.0,33.8176,-92.4225
72335.0,35.0091,-90.7886
72901.0,35.3653,-94.411
72901.0,35.3653,-94.411
72903.0,35.3427,-94.3784
72903.0,35.3427,-94.3784
72058.0,35.2295,-92.3578
72936.0,35.1955,-94.253
72601.0,36.2417,-93.1062
72601.0,36.2417,-93.1062
72543.0,35.5103,-92.0392
71801.0,33.6736,-93.6068
71913.0,34.5317,-93.0638
71913.0,34.5317,-93.0638
72740.0,36.1043,-93.7279
72076.0,34.919,-92.1419
72401.0,35.833,-90.6965
72401.0,35.833,-90.6965
72209.0,34.6725,-92.3529
72211.0,34.7413,-92.4222
72211.0,34.7413,-92.4222
72223.0,34.7902,-92.5044
72210.0,34.7076,-92.466
72206.0,34.6836,-92.2776
72204.0,34.7269,-92.344
72205.0,34.751,-92.3455
72745.0,36.2554,-94.1308
71753.0,33.2647,-93.2392
72113.0,34.8491,-92.4059
72106.0,34.9669,-92.4001
71953.0,34.5814,-94.221
71655.0,33.625,-91.7948
72110.0,35.1692,-92.7354
72653.0,36.3312,-92.3753
72560.0,35.8208,-92.0389
71852.0,33.9576,-93.8707
72112.0,35.5988,-91.2571
72117.0,34.7658,-92.1524
72118.0,34.8337,-92.3289
72949.0,35.5246,-93.8374
72450.0,36.06,-90.5251
72751.0,36.4539,-94.118
71601.0,34.209,-91.9859
71603.0,34.1897,-92.0448
71857.0,33.804,-93.3725
72756.0,36.3363,-94.1148
72758.0,36.3169,-94.1545
72801.0,35.2842,-93.1315
72143.0,35.2436,-91.7317
72150.0,34.3165,-92.3657
72120.0,34.8807,-92.2303
72762.0,36.1835,-94.1762
72764.0,36.1716,-94.0428
72160.0,34.4854,-91.5487
71854.0,33.431,-93.8765
71854.0,33.431,-93.8765
72472.0,35.5882,-90.562
72956.0,35.454,-94.3278
72958.0,34.9026,-94.0772
72476.0,36.0244,-90.9288
71671.0,33.614,-92.0778
72301.0,35.1484,-90.1779
71602.0,34.274,-92.091
72396.0,35.233,-90.793
85120.0,33.3931,-111.5768
85392.0,33.4777,-112.3093
85323.0,33.4321,-112.3438
85326.0,33.3703,-112.5838
85326.0,33.3703,-112.5838
85396.0,33.468,-112.4787
86442.0,35.106,-114.5947
86442.0,35.106,-114.5947
85122.0,32.8905,-111.754
85225.0,33.3105,-111.8239
85224.0,33.3301,-111.8632
85286.0,33.2711,-111.8311
85226.0,33.3092,-111.9198
85248.0,33.2509,-111.8593
85249.0,33.2414,-111.7745
85226.0,33.3092,-111.9198
85225.0,33.3105,-111.8239
86503.0,36.1304,-109.6037
86323.0,34.7757,-112.4731
85128.0,32.9574,-111.5344
86326.0,34.7055,-112.0091
85333.0,32.8679,-113.4631
85607.0,31.3511,-109.5447
85131.0,32.7509,-111.5833
86011.0,35.1981,-111.6513
86001.0,35.1859,-111.662
86001.0,35.1859,-111.662
86426.0,35.0052,-114.5687
85268.0,33.6085,-111.7237
85297.0,33.2781,-111.7096
85296.0,33.3354,-111.7406
85302.0,33.5675,-112.1753
85307.0,33.5376,-112.3137
85301.0,33.5311,-112.1767
85308.0,33.6539,-112.1694
85301.0,33.5311,-112.1767
85302.0,33.5675,-112.1753
85501.0,33.4024,-110.7892
85338.0,33.4368,-112.3834
85338.0,33.4368,-112.3834
85614.0,31.8543,-111.0003
86025.0,34.9085,-110.1434
86401.0,35.1328,-113.7033
