type,address_1,address_2,open_hours,city,state,postal_code,latitude,longitude
Pizza Hut Express,1200 N. Muldoon Road,,10:00 AM - 11:00 PM,Anchorage,AK,99504,61.2037,-149.7447
Pizza Hut Express,150 West 100th Ave,Suite A,10:00 AM - 11:00 PM,Anchorage,AK,99515,61.1194,-149.8974
Pizza Hut,2220 Abbott Rd,,10:00 AM - 11:00 PM,Anchorage,AK,99507,61.1535,-149.8289
Pizza Hut,341 Boniface Pkwy,Unit G,10:00 AM - 12:00 AM,Anchorage,AK,99504,61.2037,-149.7447
Pizza Hut,3727 Spenard Highway,,10:00 AM - 12:00 AM,Anchorage,AK,99517,61.1901,-149.9361
Pizza Hut,11740 Old Glenn Hwy,,10:00 AM - 10:00 PM,Eagle River,AK,99577,61.3114,-149.5085
Pizza Hut,89 College Rd,,10:00 AM - 12:00 AM,Fairbanks,AK,99701,64.8378,-147.7164
Pizza Hut,257 N Santa Claus Ln,,11:00 AM - 11:00 PM,North Pole,AK,99705,64.7805,-147.3694
Pizza Hut,44332 Sterling Hwy,,11:00 AM - 10:00 PM,Soldotna,AK,99669,60.4818,-151.1358
Pizza Hut Express,1801 East Parks Highway,,,Wasilla,AK,99654,61.5923,-149.3959
Pizza Hut,851 E Parks Hwy,,10:00 AM - 10:00 PM,Wasilla,AK,99654,61.5923,-149.3959
Pizza Hut Express,250 South Colonial Drive,,,Alabaster,AL,35007,33.1934,-86.7944
Pizza Hut,634 1st St NE,Ste 200,10:00 AM - 11:00 PM,Alabaster,AL,35007,33.1934,-86.7944
Pizza Hut,6815 Hwy 431 South,,10:00 AM - 11:00 PM,Albertville,AL,35950,34.2739,-86.2064
Pizza Hut,4581 Hwy 280,,10:30 AM - 10:00 PM,Alexander City,AL,35010,32.9164,-85.9368
Pizza Hut,1203 Dr Martin Luther King Jr Exp,,10:30 AM - 10:30 PM,Andalusia,AL,36420,31.2971,-86.4905
Pizza Hut,2109 Quintard Avenue,,11:00 AM - 10:00 PM,Anniston,AL,36201,33.6539,-85.8382
Pizza Hut,229 French Farms Blvd,Ste A,10:00 AM - 10:00 PM,Athens,AL,35611,34.8036,-86.9707
Pizza Hut,1515 S Main St,,11:00 AM - 10:30 PM,Atmore,AL,36502,31.0572,-87.4873
Pizza Hut,1923 S. College St.,,10:45 AM - 9:00 PM,Auburn,AL,36832,32.592,-85.5189
Pizza Hut,604 McMeans Ave,,10:00 AM - 10:00 PM,Bay Minette,AL,36507,30.8635,-87.7644
Pizza Hut,14031 S Wintzell Ave,,10:00 AM - 10:00 PM,Bayou La Batre,AL,36509,30.408,-88.2507
Pizza Hut Express,4889 Promenade Parkway,,,Bessemer,AL,35022,33.3224,-86.9657
